coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date,Date,price_volatility,liquidity_ratio,price_ma_7,price_ma_30,24h_volume_ma_7,24h_volume_ma_30,price_volatility_7
Amp,AMP,6.07418593565292e-07,0.9036295369211514,0.5339329517579721,0.1085946573751451,0.0001395483786183,0.0014601684093902,2022-03-16,2022-03-16,2.759841387623784e-05,0.09557005734467204,3.09229310994878e-05,0.03543704482715491,0.0012858124753806401,0.0017241433482123522,2.759841387623784e-05
Radix,XRD,2.956503390836035e-06,0.8998748435544431,0.5805396565821749,0.1078203639179248,3.728231902789594e-06,0.0014594483699534,2022-03-16,2022-03-16,2.011877288245189e-05,0.002554548677120134,2.032355647534841e-05,0.03543547740893434,0.001276660243245855,0.0015298953983824417,2.011877288245189e-05
Kusama,KSM,0.0030773508288763,0.9123904881101376,0.5609157808667211,0.1153697251258226,0.0011374300711616,0.0013747527909713,2022-03-16,2022-03-16,0.0011562593656710767,0.8273706215631502,0.0004555780020026799,0.03553805301472491,0.0013297415375289267,0.0015658281738114993,0.0011562593656710767
Celo,CELO,6.11394204059631e-05,0.9086357947434294,0.5584627964022894,0.0933023615950445,0.0008046979180749,0.0012995375617847,2022-03-16,2022-03-16,0.0011525411701569766,0.6192186680389449,0.00046415876551357196,0.03553951491326081,0.0014401296199728238,0.0015771454238899761,0.0011525411701569766
Kadena,KDA,0.0001511502338344,0.9111389236545684,0.5355682747342599,0.1140147115756871,0.0010125097145048,0.0012834132177644,2022-03-16,2022-03-16,0.0011460842022562366,0.7889195003527456,0.00048089932111077514,0.03554453554677177,0.0012547934917551383,0.001610895693686464,0.0011460842022562366
Chiliz,CHZ,4.809658633771891e-06,0.9136420525657072,0.5478331970564185,0.1118854045683313,0.0018884669957204,0.0012674564446794,2022-03-16,2022-03-16,0.001147113440258377,1.4899659894806745,0.0004787353044948552,0.035540304505592514,0.0007236420265081811,0.0016407860079633507,0.001147113440258377
Dash,DASH,0.0023689099253424,0.9011264080100124,0.5322976287816843,0.113821138211382,0.0042366336758336,0.0012496651708131,2022-03-16,2022-03-16,0.001324180300463872,3.3902150550271126,0.0008095605698681925,0.03561913676692375,0.0013175735694023413,0.0017727407597904574,0.001324180300463872
Frax Share,FXS,0.0004347692119957,0.8886107634543179,0.5192150449713818,0.1091753774680603,8.345419143270841e-05,0.0012443880490878,2022-03-16,2022-03-16,0.0012896935103398868,0.06706444303598431,0.0008715836832113548,0.03552247825460597,0.0013095601140901139,0.0016130781706144343,0.0012896935103398868
Pax Dollar,USDP,2.4238019609645085e-05,0.8785982478097623,0.5290269828291086,0.1078203639179248,0.000994899107021,0.0011971644056814,2022-03-16,2022-03-16,0.0012873275223863104,0.8310463477693566,0.0008746238998140417,0.03540283506054355,0.0014511559533927152,0.0014869676588389043,0.0012873275223863104
BitDAO,BIT,2.71730757159812e-05,0.9123904881101376,0.543744889615699,0.1149825783972125,0.0009419295266641,0.0011954312062128,2022-03-16,2022-03-16,0.0008641331301254775,0.7879412230237749,0.00043888422079113896,0.033800383790319466,0.001423227304178787,0.0014649446483210675,0.0008641331301254775
GateToken,GT,0.0001581861195201,0.8961201501877347,0.5535568274734259,0.1070460704607045,0.0001328282576585,0.0011778058551107,2022-03-16,2022-03-16,0.0008578180898769271,0.11277602083750525,0.0004527480349503014,0.03377464215337941,0.001327245924119301,0.0014627606323111208,0.0008578180898769271
Convex Finance,CVX,0.0004437460316638,0.9286608260325409,0.5723630417007358,0.1364692218350754,0.0007811168577626,0.0011772167183458,2022-03-16,2022-03-16,0.0008477421704784233,0.6635285122863434,0.0004945474346402157,0.03378924947615132,0.0012941898017275583,0.001171336710472821,0.0008477421704784233
Synthetix Network Token,SNX,0.000102869501025,0.9474342928660826,0.5928045789043336,0.1242740998838559,0.0010934607545194,0.001080174823618,2022-03-16,2022-03-16,0.0008390665015340589,1.0122997968577896,0.0005085559835532482,0.033792678458054434,0.0011806174815559868,0.0011572481611964443,0.0008390665015340589
Xido Finance,XIDO,0.0007487152836303,0.8473091364205257,0.4881439084219132,0.2562911343399148,2.527076519285185e-05,0.0010668217588266,2022-03-16,2022-03-16,0.00027262638727423524,0.023687898173962284,0.0002770996061658053,0.03379133597871668,0.0005789942086073085,0.001128956508340726,0.00027262638727423524
Loopring,LRC,1.724282075246676e-05,0.918648310387985,0.5568274734260016,0.1016260162601625,0.0019372650885656,0.001051392801263,2022-03-16,2022-03-16,0.000278002603554055,1.8425702422904493,0.00021745297884534343,0.0004585774060750988,0.0008438243367691501,0.0011934226921700944,0.000278002603554055
NEM,XEM,2.383481592594646e-06,0.90738423028786,0.5633687653311529,0.1151761517615175,0.0003601631679869,0.0010487145567184,2022-03-16,2022-03-16,0.00028064429506811423,0.34343298248277365,0.0002143309019857648,0.00045415227117883534,0.0007531477740499931,0.001145526090557251,0.00028064429506811423
Anchor Protocol,ANC,7.521119177752704e-05,0.9561952440550688,0.6001635322976288,0.073170731707317,0.0018559720616591,0.0009558949207026,2022-03-16,2022-03-16,0.00027585137851169814,1.9416067827778885,0.00022119348999455706,0.00036561333268694953,0.0008837252790492787,0.001193740275838351,0.00027585137851169814
Oasis Network,ROSE,5.528968767606593e-06,0.9261576971214018,0.5854456255110384,0.1132404181184668,0.0011365132846189,0.0009389195185959,2022-03-16,2022-03-16,0.00028745317963781364,1.2104480332014933,0.00019938532560134371,0.0003656945640089981,0.001027108854329336,0.0011883891191028044,0.00028745317963781364
Curve DAO Token,CRV,4.900858301668385e-05,0.9136420525657072,0.5461978740801308,0.1068524970963995,0.0026050998283852,0.0009348150609486,2022-03-16,2022-03-16,0.0002696965356902566,2.7867542332294954,0.00014299426150889857,0.0003673281193165848,0.0012876778501325645,0.0012536808095434976,0.0002696965356902566
Decred,DCR,0.0013797614446206,0.9061326658322904,0.6451349141455437,0.1250483933410762,0.0004320836517014,0.0009296153646061,2022-03-16,2022-03-16,0.0005371961986039157,0.46479831137954997,0.00032540739630827,0.0003509595760659848,0.0011931954068728503,0.001190284094942364,0.0005371961986039157
cUSDT,CUSDT,5.281379143985223e-07,0.8811013767209012,0.5282093213409648,0.1080139372822299,1.4001043116497046e-07,0.0009144900390775,2022-03-16,2022-03-16,0.000512813539254909,0.00015310219377152236,0.00021852351834885555,0.0003346975968879215,0.001189605299049752,0.0011049776459691263,0.000512813539254909
Secret,SCRT,0.0001118463206931,0.902377972465582,0.5347506132461161,0.1132404181184668,0.0003430030656198,0.0008994453038326,2022-03-16,2022-03-16,0.0005078474041653608,0.3813495541732662,0.00023203830405466028,0.000337617085086273,0.0009618535814860663,0.0010503240550473532,0.0005078474041653608
LINK,LN,0.0031409164167961,0.9261576971214018,0.5429272281275551,0.1126596980255516,2.0849273232451475e-05,0.0008938861012949,2022-03-16,2022-03-16,0.0011936698333523106,0.023324306309549764,0.0006804001519408753,0.000435051970996963,0.0009133801679497164,0.001032542601984625,0.0011936698333523106
Mina Protocol,MINA,4.391363131318656e-05,0.8998748435544431,0.6140637775960751,0.1072396438250096,0.0012144779590109,0.0008896426109432,2022-03-16,2022-03-16,0.001196370030959654,1.3651301590908616,0.0006759290718745409,0.00042162717761949593,0.0008217381532856879,0.0010680893595441715,0.001196370030959654
Holo,HOT,1.006365583164569e-07,0.9148936170212766,0.5502861815208503,0.1134339914827719,0.0010908696424089,0.0008615627842211,2022-03-16,2022-03-16,0.0011968786538370754,1.2661522321848033,0.0006751535958446423,0.0004190587946461127,0.0008152176329699736,0.001102191885729592,0.0011968786538370754
Compound,COMP,0.0026585943221984,0.9136420525657072,0.5650040883074406,0.1180797522260936,0.0007034879218772,0.0008509244093029,2022-03-16,2022-03-16,0.0013640773660104457,0.8267337429578687,0.0010479515585848874,0.00050665961504656,0.0005435587891831165,0.0011001127827528288,0.0013640773660104457
IoTeX,IOTX,1.8593787511158009e-06,0.9336670838548186,0.5339329517579721,0.1306620209059233,0.0015832004480418,0.0008393288825319,2022-03-16,2022-03-16,0.0014069602472972856,1.8862694719451978,0.0008511084063178184,0.0005066857918106067,0.0007080040458031737,0.001151820086321968,0.0014069602472972856
